Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  934.7    642   10.0    6.8     80   6.64    218    9.6  288.7  307.7  289.9
  934.1    647   10.0    6.5     79   6.50    218    9.6  288.7  307.3  289.9
  933.5    652   10.0    6.5     79   6.51    218    9.6  288.7  307.3  289.9
  933.0    657    9.9    6.6     80   6.57    217    9.6  288.7  307.5  289.9
  932.5    662    9.9    6.9     82   6.71    217    9.6  288.7  307.9  289.9
  931.9    666    9.8    7.3     84   6.90    216    9.6  288.7  308.4  289.9
  931.4    671    9.7    7.5     86   7.00    216    9.6  288.7  308.6  289.9
  930.8    676    9.7    7.5     86   7.01    216    9.6  288.7  308.7  289.9
  930.2    681    9.6    7.5     87   7.01    216    9.6  288.7  308.7  289.9
  929.7    686    9.6    7.5     87   7.01    216    9.6  288.7  308.6  289.9
  929.1    692    9.5    7.5     87   7.03    216    9.6  288.7  308.7  289.9
  928.5    697    9.5    7.6     88   7.07    216    9.6  288.7  308.8  289.9
  927.9    703    9.4    7.6     89   7.09    216    9.6  288.7  308.8  289.9
  927.2    708    9.4    7.6     89   7.06    216    9.6  288.7  308.8  289.9
  926.6    714    9.3    7.5     88   7.03    216    9.6  288.7  308.7  289.9
  926.0    719    9.3    7.5     89   7.03    217    9.6  288.7  308.7  289.9
  925.5    724    9.2    7.5     89   7.02    217    9.6  288.7  308.7  289.9
  925.0    728    9.2    7.4     89   6.99    217    9.6  288.7  308.6  289.9
  924.9    729    9.2    7.4     89   6.98    217    9.6  288.7  308.6  289.9
  924.4    734    9.1    7.3     88   6.95    218    9.6  288.7  308.5  289.9
  923.8    739    9.1    7.2     88   6.90    218    9.6  288.7  308.4  289.9
  923.3    743    9.1    7.0     87   6.82    218    9.7  288.7  308.2  289.9
  922.8    748    9.0    6.8     86   6.73    219    9.7  288.7  307.9  289.9
  922.4    752    9.0    6.7     85   6.67    219    9.7  288.7  307.8  289.9
  921.9    756    9.0    6.8     87   6.76    220    9.7  288.8  308.0  289.9
  921.5    760    8.9    7.1     88   6.86    220    9.8  288.7  308.3  289.9
  921.0    764    8.9    7.0     88   6.83    220    9.8  288.7  308.2  289.9
  920.6    768    8.8    6.9     88   6.78    221    9.9  288.7  308.1  289.9
  920.2    772    8.8    7.0     89   6.85    221    9.9  288.7  308.3  289.9
  919.8    775    8.8    7.2     90   6.94    221    9.9  288.7  308.5  289.9
  919.4    779    8.7    7.3     91   6.99    222   10.0  288.7  308.6  289.9
  919.0    783    8.7    7.1     90   6.90    222   10.0  288.7  308.3  289.9
  918.5    786    8.6    6.6     87   6.68    222   10.1  288.7  307.8  289.9
  918.1    790    8.6    6.4     86   6.58    222   10.1  288.8  307.6  289.9
  917.7    794    8.6    6.5     87   6.64    222   10.2  288.8  307.7  289.9
  917.3    798    8.6    6.7     88   6.71    222   10.2  288.8  307.9  289.9
  916.8    802    8.5    6.7     88   6.74    222   10.3  288.7  308.0  289.9
  916.4    806    8.5    6.7     88   6.71    222   10.3  288.7  307.9  289.9
  916.0    810    8.4    6.6     88   6.67    222   10.4  288.7  307.8  289.9
  915.5    814    8.4    6.5     88   6.66    222   10.4  288.8  307.8  289.9
  915.0    818    8.4    6.6     89   6.69    222   10.4  288.8  307.9  289.9
  914.6    822    8.3    6.6     89   6.72    222   10.5  288.8  307.9  289.9
  914.1    826    8.3    6.6     89   6.70    221   10.5  288.8  307.9  289.9
  913.7    830    8.3    6.4     88   6.63    221   10.5  288.8  307.7  289.9
  913.2    834    8.2    6.2     87   6.51    221   10.6  288.8  307.4  289.9
  912.7    839    8.2    5.7     84   6.31    221   10.6  288.8  306.9  289.9
  912.3    843    8.2    5.2     82   6.10    221   10.6  288.8  306.3  289.9
  911.8    848    8.2    4.8     79   5.94    221   10.6  288.9  305.9  289.9
  911.3    852    8.2    4.7     78   5.86    221   10.6  288.9  305.8  290.0
  910.8    856    8.2    4.8     79   5.92    221   10.6  289.0  305.9  290.0
  910.3    861    8.1    5.1     81   6.04    220   10.6  288.9  306.3  290.0
  909.8    865    8.1    4.5     78   5.83    220   10.6  288.9  305.7  290.0
  909.3    870    8.1    3.7     73   5.47    220   10.6  289.0  304.8  290.0
  908.8    874    8.1    3.5     72   5.40    220   10.6  289.1  304.7  290.0
  908.3    879    8.1    3.8     74   5.52    220   10.6  289.1  305.0  290.0
  907.9    883    8.0    4.0     76   5.62    220   10.6  289.0  305.2  290.0
  907.4    888    8.0    3.4     73   5.41    220   10.5  289.1  304.7  290.0
  906.9    892    8.0    2.8     70   5.18    220   10.5  289.1  304.1  290.0
  906.4    896    8.0    2.9     70   5.19    220   10.5  289.1  304.1  290.0
  905.9    901    7.9    3.1     72   5.29    220   10.4  289.1  304.4  290.1
  905.4    905    7.9    3.3     73   5.35    220   10.4  289.1  304.6  290.1
  905.0    909    7.9    3.4     73   5.40    220   10.4  289.1  304.7  290.1
  904.5    914    7.8    3.5     74   5.43    221   10.3  289.1  304.8  290.1
  904.0    918    7.8    3.5     74   5.43    221   10.3  289.1  304.8  290.1
  903.6    922    7.7    3.4     74   5.42    221   10.2  289.1  304.8  290.1
  903.1    926    7.7    3.3     74   5.38    221   10.2  289.1  304.7  290.1
  902.7    930    7.6    3.2     73   5.33    221   10.1  289.1  304.5  290.1
  902.2    934    7.6    3.1     73   5.30    221   10.1  289.1  304.5  290.1
  901.8    939    7.6    3.0     73   5.27    221   10.0  289.1  304.4  290.1
  901.3    943    7.5    2.9     73   5.24    221    9.9  289.1  304.3  290.1
  900.8    947    7.5    3.0     73   5.27    221    9.9  289.1  304.4  290.1
  900.3    952    7.4    3.1     74   5.31    221    9.8  289.1  304.5  290.1
  899.8    956    7.4    3.2     75   5.37    221    9.8  289.1  304.6  290.1
  899.3    961    7.3    3.3     76   5.41    221    9.7  289.1  304.7  290.1
  898.9    965    7.3    3.4     76   5.42    221    9.7  289.1  304.7  290.0
  898.4    970    7.2    3.3     76   5.40    221    9.6  289.1  304.7  290.0
  897.9    974    7.2    3.2     76   5.35    221    9.6  289.1  304.6  290.0
  897.5    978    7.2    3.0     75   5.30    221    9.6  289.1  304.4  290.0
  897.0    982    7.1    3.0     75   5.29    221    9.5  289.1  304.4  290.1
  896.5    986    7.1    3.2     76   5.38    221    9.5  289.1  304.7  290.1
  896.1    991    7.1    3.5     78   5.50    221    9.4  289.1  305.0  290.1
  895.6    995    7.0    3.5     79   5.52    221    9.4  289.1  305.0  290.1
  895.1    999    7.0    3.5     78   5.48    221    9.4  289.1  304.9  290.1
  894.7   1004    6.9    3.5     79   5.49    221    9.4  289.1  305.0  290.1
  894.2   1008    6.9    3.6     80   5.56    221    9.3  289.1  305.2  290.1
  893.8   1012    6.9    3.9     82   5.67    221    9.3  289.1  305.5  290.1
  893.3   1016    6.8    4.1     83   5.75    221    9.3  289.1  305.7  290.1
  892.8   1021    6.7    4.1     83   5.76    221    9.3  289.1  305.7  290.1
  892.4   1025    6.7    4.1     83   5.74    220    9.2  289.1  305.6  290.1
  891.9   1029    6.6    4.0     83   5.71    220    9.2  289.1  305.5  290.1
  891.5   1033    6.6    3.9     83   5.68    220    9.2  289.1  305.4  290.1
  891.0   1037    6.6    3.8     83   5.66    220    9.2  289.1  305.4  290.1
  890.6   1041    6.5    3.8     82   5.63    220    9.2  289.1  305.3  290.1
  890.1   1045    6.5    3.7     82   5.63    220    9.2  289.1  305.3  290.1
  889.7   1049    6.5    3.8     83   5.64    220    9.2  289.1  305.4  290.1
  889.3   1054    6.4    3.8     83   5.67    220    9.3  289.1  305.4  290.1
  888.8   1058    6.4    3.9     84   5.69    220    9.3  289.1  305.5  290.1
  888.4   1062    6.3    3.8     84   5.68    219    9.3  289.1  305.4  290.1
  887.9   1066    6.3    3.7     84   5.64    219    9.3  289.1  305.4  290.1
  887.5   1070    6.3    3.7     83   5.62    219    9.3  289.1  305.3  290.1
  887.1   1074    6.3    3.7     84   5.63    219    9.4  289.1  305.3  290.1
  886.6   1078    6.2    3.7     84   5.63    219    9.4  289.2  305.4  290.1
  886.2   1082    6.2    3.6     84   5.61    219    9.5  289.2  305.3  290.1
